Accuracy,Components,Function
0.5757752340041468,6,IFNγ
0.6375922126192034,6,MIP1β
0.6103482391620773,6,ADCD
0.6087452462953589,6,ADCC
0.49610051789855425,6,ADNP
0.555397845228344,6,CD107a
0.5772028711939077,6,IFNγ
0.6339299315863269,6,MIP1β
0.6300608876574766,7,ADCD
0.5851139780460476,7,ADCC
0.4776806859945448,7,ADNP
0.5333182442604693,7,CD107a
0.576135199157202,7,IFNγ
0.5739554838021251,7,MIP1β
0.6455813377793236,7,ADCD
0.602983040250848,7,ADCC
0.4785408482231695,7,ADNP
0.5400115750420108,7,CD107a
0.5706374559970276,7,IFNγ
0.5705110023953367,7,MIP1β
0.6228090678903899,7,ADCD
0.5832785120918379,7,ADCC
0.4778705763480111,7,ADNP
0.5239839433161632,7,CD107a
0.5738745700235901,7,IFNγ
0.5893053007019601,7,MIP1β
0.6316718089150979,7,ADCD
0.5986969838673756,7,ADCC
0.4748962612520167,7,ADNP
0.5196652720464122,7,CD107a
0.5540064790641182,7,IFNγ
0.5697439011583704,7,MIP1β
0.6397834879667309,7,ADCD
0.5890839354366584,7,ADCC
0.4626152580515482,7,ADNP
0.5393172977534125,7,CD107a
0.5685776301042168,7,IFNγ
0.5781298014431773,7,MIP1β
0.6448010603271608,7,ADCD
0.5912593914596914,7,ADCC
0.4644628157800442,7,ADNP
0.5403557967312655,7,CD107a
0.5739829139984267,7,IFNγ
0.5775634356703787,7,MIP1β
0.6347910848329682,7,ADCD
0.5863273640471318,7,ADCC
0.448779957855142,7,ADNP
0.5114202758147625,7,CD107a
0.5492463727335638,7,IFNγ
0.5845923264351713,7,MIP1β
0.6411780933590561,7,ADCD
0.597324510379942,7,ADCC
0.47251354136933843,7,ADNP
0.5390926307739285,7,CD107a
0.5477721515219078,7,IFNγ
0.5745608085801474,7,MIP1β
0.6309143804772864,7,ADCD
0.6026616397073066,7,ADCC
0.46144118867217454,7,ADNP
0.5480570993478826,7,CD107a
0.5654757509032071,7,IFNγ
0.5804197204180479,7,MIP1β
0.6463688378168213,7,ADCD
0.6005051237029314,7,ADCC
0.453438474297975,7,ADNP
0.5455597079080683,7,CD107a
0.5611236497016239,7,IFNγ
0.5652220891317931,7,MIP1β
0.6637856589618608,8,ADCD
0.5941391252183499,8,ADCC
0.4672946993527108,8,ADNP
0.5203873412760753,8,CD107a
0.562949664281478,8,IFNγ
0.6024895832553343,8,MIP1β
0.6607023979034612,8,ADCD
0.572399424823489,8,ADCC
0.47485065601864473,8,ADNP
0.535585898440246,8,CD107a
0.5572324874010389,8,IFNγ
0.5960430879886778,8,MIP1β
0.6725357627664226,8,ADCD
0.5924793400443483,8,ADCC
0.46505030133826847,8,ADNP
0.5442321556664539,8,CD107a
0.5578267457126078,8,IFNγ
0.6062742806291859,8,MIP1β
0.6710393453312049,8,ADCD
0.5960690909504014,8,ADCC
0.4656590555979054,8,ADNP
0.5387158131589694,8,CD107a
0.5610650975967756,8,IFNγ
0.5921367010705737,8,MIP1β
0.6715633000268739,8,ADCD
0.5905945870050403,8,ADCC
0.482821342000076,8,ADNP
0.5407000483658783,8,CD107a
0.5689891775689639,8,IFNγ
0.6020982833555655,8,MIP1β
0.6625275995514063,8,ADCD
0.5859384043799376,8,ADCC
0.4626913194136828,8,ADNP
0.5346158928654593,8,CD107a
0.5680661786563699,8,IFNγ
0.5909033410931818,8,MIP1β
0.6693441954460149,8,ADCD
0.6023383458890108,8,ADCC
0.47023520911401245,8,ADNP
0.5343652739946585,8,CD107a
0.5520804351419897,8,IFNγ
0.6059368565909431,8,MIP1β
0.6607208584619441,8,ADCD
0.5954043213903714,8,ADCC
